30. Novembre 2016 | 01:47:17 | Cargando Anticheat...
30. Novembre 2016 | 01:47:17 | Configuracion del Anticheat Actual: 
30. Novembre 2016 | 01:47:17 | - WeaponHack = 1
30. Novembre 2016 | 01:47:17 | - MoneyHack = 1
30. Novembre 2016 | 01:47:17 | - Jetpack = 1
30. Novembre 2016 | 01:47:17 | - HealthHack = 1
30. Novembre 2016 | 01:47:17 | - ArmourHack = 1
30. Novembre 2016 | 01:47:17 | - DriveBy = 3
30. Novembre 2016 | 01:47:17 | - Spam = 1
30. Novembre 2016 | 01:47:17 | - CommandSpam = 1
30. Novembre 2016 | 01:47:17 | - BadWords = 1
30. Novembre 2016 | 01:47:17 | - CarJackHack = 1
30. Novembre 2016 | 01:47:17 | - TeleportHack = 1
30. Novembre 2016 | 01:47:17 | - MaxPing = 500
30. Novembre 2016 | 01:47:17 | - SpectateHack = 1
30. Novembre 2016 | 01:47:17 | - Blacklist = 1
30. Novembre 2016 | 01:47:17 | - IpBans = 1
30. Novembre 2016 | 01:47:17 | - TempBans = 1
30. Novembre 2016 | 01:47:17 | - SpawnKill = 3
30. Novembre 2016 | 01:47:17 | - CapsLock = 1
30. Novembre 2016 | 01:47:17 | - 3DSpeed = 0
30. Novembre 2016 | 01:47:17 | - MaxSpeed = 230
30. Novembre 2016 | 01:47:17 | - AdminImmunity = 1
30. Novembre 2016 | 01:47:17 | - Advertisement = 0
30. Novembre 2016 | 01:47:17 | - FreezeUpdate = 0
30. Novembre 2016 | 01:47:17 | - SpawnTime = 10
30. Novembre 2016 | 01:47:17 | - CheckpointTeleport = 1
30. Novembre 2016 | 01:47:17 | - Airbrake = 150
30. Novembre 2016 | 01:47:17 | - TankMode = 1
30. Novembre 2016 | 01:47:17 | - WarnPlayers = 0
30. Novembre 2016 | 01:47:17 | - SingleplayerCheats = 1
30. Novembre 2016 | 01:47:17 | - MinFPS = 1
30. Novembre 2016 | 01:47:17 | - DisableBadWeapons = 1
30. Novembre 2016 | 01:47:17 | - CBug = 16
30. Novembre 2016 | 01:47:17 | - AntiBugKill = 1
30. Novembre 2016 | 01:47:17 | - NoReload = 20
30. Novembre 2016 | 01:47:17 | - NoReloadForSawnOff = 4
30. Novembre 2016 | 01:47:17 | - ActiveGMC = 2
30. Novembre 2016 | 01:47:17 | - GMCBan = 0
30. Novembre 2016 | 01:47:17 | - ServerSideHealth = 1
30. Novembre 2016 | 01:47:17 | - CheckVMPos = 0
30. Novembre 2016 | 01:47:17 | - QuickTurn = 1
30. Novembre 2016 | 01:47:17 | - VehicleTeleport = 1
30. Novembre 2016 | 01:47:17 | - Wallride = 170
30. Novembre 2016 | 01:47:17 | - DisplayTextDraw = 1
30. Novembre 2016 | 01:47:17 | - AFK = 5
30. Novembre 2016 | 01:47:17 | - PickupTeleport = 1
30. Novembre 2016 | 01:47:17 | - FlyHack = 40
30. Novembre 2016 | 01:47:17 | - JunkBusterChrome = 1
30. Novembre 2016 | 01:47:17 | - CheckWalkAnims = 1
30. Novembre 2016 | 01:47:17 | - ReportMoneyHack = 1
30. Novembre 2016 | 01:47:17 | - SpeedhackAdvanced = 20
30. Novembre 2016 | 01:47:17 | - Joypad = 0
30. Novembre 2016 | 01:47:17 | - ArmedVehicles = 0
30. Novembre 2016 | 01:47:17 | - VehicleRepair = 2
30. Novembre 2016 | 01:47:17 | - TuningHack = 1
30. Novembre 2016 | 01:47:17 | - PayForGuns = 0
30. Novembre 2016 | 01:47:17 | - SpawnVehicles = 2
30. Novembre 2016 | 01:47:17 | - MaxTotalWarnings = 15
30. Novembre 2016 | 01:47:17 | - TooManyWarningsAction = 1
30. Novembre 2016 | 01:47:17 | - AirbrakeDetection = 1
30. Novembre 2016 | 01:47:17 | - SpeedhackDetection = 0
30. Novembre 2016 | 01:47:17 | 0 IP-Prohibiciones se han cargado.
30. Novembre 2016 | 01:47:17 | 0 prohibiciones temporales se han cargado.
30. Novembre 2016 | 01:47:17 | 0 entradas de lista blanca se han cargado.
30. Novembre 2016 | 01:47:17 | 0 entradas de la lista negra se han cargado.
30. Novembre 2016 | 01:47:17 | 0 malas palabras se han cargado.
30. Novembre 2016 | 01:47:17 | 5 armas prohibidas se han cargado.
30. Novembre 2016 | 01:47:17 | Anticheat se ha configurado.
30. Novembre 2016 | 01:47:17 | Anticheat (v0.1) con éxito se ha cargado.

30. Novembre 2016 | 01:55:11 | Resetting player classes.
12. August 2017 | 20:08:00 | Cargando Anticheat...
12. August 2017 | 20:08:00 | Configuracion del Anticheat Actual: 
12. August 2017 | 20:08:00 | - WeaponHack = 1
12. August 2017 | 20:08:00 | - MoneyHack = 1
12. August 2017 | 20:08:00 | - Jetpack = 1
12. August 2017 | 20:08:01 | - HealthHack = 1
12. August 2017 | 20:08:01 | - ArmourHack = 1
12. August 2017 | 20:08:01 | - DriveBy = 3
12. August 2017 | 20:08:01 | - Spam = 1
12. August 2017 | 20:08:01 | - CommandSpam = 1
12. August 2017 | 20:08:01 | - BadWords = 1
12. August 2017 | 20:08:01 | - CarJackHack = 1
12. August 2017 | 20:08:01 | - TeleportHack = 1
12. August 2017 | 20:08:01 | - MaxPing = 500
12. August 2017 | 20:08:01 | - SpectateHack = 1
12. August 2017 | 20:08:01 | - Blacklist = 1
12. August 2017 | 20:08:01 | - IpBans = 1
12. August 2017 | 20:08:01 | - TempBans = 1
12. August 2017 | 20:08:01 | - SpawnKill = 3
12. August 2017 | 20:08:01 | - CapsLock = 1
12. August 2017 | 20:08:01 | - 3DSpeed = 0
12. August 2017 | 20:08:01 | - MaxSpeed = 230
12. August 2017 | 20:08:01 | - AdminImmunity = 1
12. August 2017 | 20:08:01 | - Advertisement = 0
12. August 2017 | 20:08:01 | - FreezeUpdate = 0
12. August 2017 | 20:08:01 | - SpawnTime = 10
12. August 2017 | 20:08:01 | - CheckpointTeleport = 1
12. August 2017 | 20:08:01 | - Airbrake = 150
12. August 2017 | 20:08:01 | - TankMode = 1
12. August 2017 | 20:08:01 | - WarnPlayers = 0
12. August 2017 | 20:08:01 | - SingleplayerCheats = 1
12. August 2017 | 20:08:01 | - MinFPS = 1
12. August 2017 | 20:08:01 | - DisableBadWeapons = 1
12. August 2017 | 20:08:01 | - CBug = 16
12. August 2017 | 20:08:01 | - AntiBugKill = 1
12. August 2017 | 20:08:01 | - NoReload = 20
12. August 2017 | 20:08:01 | - NoReloadForSawnOff = 4
12. August 2017 | 20:08:01 | - ActiveGMC = 2
12. August 2017 | 20:08:01 | - GMCBan = 0
12. August 2017 | 20:08:01 | - ServerSideHealth = 1
12. August 2017 | 20:08:02 | - CheckVMPos = 0
12. August 2017 | 20:08:02 | - QuickTurn = 1
12. August 2017 | 20:08:02 | - VehicleTeleport = 1
12. August 2017 | 20:08:02 | - Wallride = 170
12. August 2017 | 20:08:02 | - DisplayTextDraw = 1
12. August 2017 | 20:08:02 | - AFK = 5
12. August 2017 | 20:08:02 | - PickupTeleport = 1
12. August 2017 | 20:08:02 | - FlyHack = 40
12. August 2017 | 20:08:02 | - JunkBusterChrome = 1
12. August 2017 | 20:08:02 | - CheckWalkAnims = 1
12. August 2017 | 20:08:02 | - ReportMoneyHack = 1
12. August 2017 | 20:08:02 | - SpeedhackAdvanced = 20
12. August 2017 | 20:08:02 | - Joypad = 0
12. August 2017 | 20:08:02 | - ArmedVehicles = 0
12. August 2017 | 20:08:02 | - VehicleRepair = 2
12. August 2017 | 20:08:02 | - TuningHack = 1
12. August 2017 | 20:08:02 | - PayForGuns = 0
12. August 2017 | 20:08:02 | - SpawnVehicles = 2
12. August 2017 | 20:08:02 | - MaxTotalWarnings = 15
12. August 2017 | 20:08:02 | - TooManyWarningsAction = 1
12. August 2017 | 20:08:02 | - AirbrakeDetection = 1
12. August 2017 | 20:08:02 | - SpeedhackDetection = 0
12. August 2017 | 20:08:02 | 0 IP-Prohibiciones se han cargado.
12. August 2017 | 20:08:02 | 0 prohibiciones temporales se han cargado.
12. August 2017 | 20:08:02 | 0 entradas de lista blanca se han cargado.
12. August 2017 | 20:08:02 | 0 entradas de la lista negra se han cargado.
12. August 2017 | 20:08:02 | 0 malas palabras se han cargado.
12. August 2017 | 20:08:02 | 5 armas prohibidas se han cargado.
12. August 2017 | 20:08:02 | Anticheat se ha configurado.
12. August 2017 | 20:08:02 | Anticheat (v0.1) con éxito se ha cargado.

12. August 2017 | 20:08:05 | Resetting player classes.
12. August 2017 | 20:08:45 | Cargando Anticheat...
12. August 2017 | 20:08:45 | Configuracion del Anticheat Actual: 
12. August 2017 | 20:08:45 | - WeaponHack = 1
12. August 2017 | 20:08:45 | - MoneyHack = 1
12. August 2017 | 20:08:45 | - Jetpack = 1
12. August 2017 | 20:08:45 | - HealthHack = 1
12. August 2017 | 20:08:45 | - ArmourHack = 1
12. August 2017 | 20:08:45 | - DriveBy = 3
12. August 2017 | 20:08:45 | - Spam = 1
12. August 2017 | 20:08:45 | - CommandSpam = 1
12. August 2017 | 20:08:45 | - BadWords = 1
12. August 2017 | 20:08:45 | - CarJackHack = 1
12. August 2017 | 20:08:45 | - TeleportHack = 1
12. August 2017 | 20:08:45 | - MaxPing = 500
12. August 2017 | 20:08:45 | - SpectateHack = 1
12. August 2017 | 20:08:45 | - Blacklist = 1
12. August 2017 | 20:08:45 | - IpBans = 1
12. August 2017 | 20:08:45 | - TempBans = 1
12. August 2017 | 20:08:45 | - SpawnKill = 3
12. August 2017 | 20:08:45 | - CapsLock = 1
12. August 2017 | 20:08:45 | - 3DSpeed = 0
12. August 2017 | 20:08:45 | - MaxSpeed = 230
12. August 2017 | 20:08:45 | - AdminImmunity = 1
12. August 2017 | 20:08:45 | - Advertisement = 0
12. August 2017 | 20:08:45 | - FreezeUpdate = 0
